Period,Attribute,Alpha,Beta,Gamma,Delta,Epsilon
0,Price,0.8,0.9,0.8,0.8,
0,Weight,0.9,0.6,0.3,0.2,
0,Complex.,0.2,0.6,0.8,0.4,
0,Memory,0.1,0.4,0.2,0.4,
0,Battery,0.7,0.2,0.1,0.3,
0,Style,0.3,0.3,0.8,0.9,
1,Price,0.8,0.9,0.8,0.8,0.9
1,Weight,0.85,0.6,0.3,0.2,0.45
1,Complex.,0.2,0.6,0.8,0.4,0.5
1,Memory,0.1,0.4,0.2,0.4,0.4
1,Battery,0.75,0.2,0.1,0.3,0.55
1,Style,0.3,0.3,0.8,0.9,0.2
2,Price,0.8,0.9,0.8,0.8,0.9
2,Weight,0.75,0.55,0.25,0.2,0.4
2,Complex.,0.2,0.6,0.8,0.4,0.5
2,Memory,0.1,0.4,0.2,0.4,0.4
2,Battery,0.85,0.25,0.15,0.3,0.6
2,Style,0.3,0.3,0.8,0.9,0.2